City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Denver,39.75177015,-105.01387275739978,Downtown Aquarium,4bc1fac24cdfc9b6854c9521,39.751822077302855,-105.0139394354768,Aquarium,7.6,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Denver,39.75177015,-105.01387275739978,My Brother's Bar,40e0b100f964a520c0031fe3,39.75623169184121,-105.00922029546223,Pub,9.0,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Denver,39.75177015,-105.01387275739978,Sapor Coffee & Concepts,5aec620d98fbfc002cf27bc5,39.756985567336415,-105.01784530648612,Coffee Shop,9.1,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Denver,39.75177015,-105.01387275739978,Boomerang,4df7a6f162e141c90765629f,39.74835979981889,-105.01436362810709,Theme Park Ride / Attraction,7.8,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Denver,39.75177015,-105.01387275739978,Pepsi Center,49e17e5ef964a520cf611fe3,39.74860824519365,-105.00757084463541,Stadium,8.8,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Denver,39.75177015,-105.01387275739978,Sushi Sasa,49f7cdd6f964a520e06c1fe3,39.75670112214983,-105.00936667368003,Sushi Restaurant,8.9,0,Theme Park Ride / Attraction,Aquarium,Stadium,Museum,Park,Pub,Sporting Goods Shop,Coffee Shop,Sushi Restaurant,Boutique
Seattle,47.6049492,-122.33327369999999,Biscuit B*tch,5762cc9ccd1085a720b1433e,47.603237,-122.33201000000001,Breakfast Spot,9.0,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Columbia Tower Club,451c049bf964a520803a1fe3,47.60450651693834,-122.33048379421234,Social Club,8.9,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,"Loews Hotel 1000, Seattle",455864a4f964a520403d1fe3,47.60516393,-122.33612951,Hotel,8.7,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Kimpton Hotel Monaco Seattle,457945ebf964a520cc3e1fe3,47.606932,-122.3341,Hotel,8.4,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Storyville Coffee Company,52d456c811d24128cdd7bc8b,47.604759232051656,-122.33636210125788,Coffee Shop,8.4,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Red Bowls,4ab7e782f964a5206b7b20e3,47.604654474206626,-122.33321114382031,Noodle House,8.2,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Tat's Delicatessen,455c500ef964a5206e3d1fe3,47.601901016106545,-122.3324232258795,Sandwich Place,8.8,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Smith Tower Observation Bar,5ab5e04ce679bc6844b3448d,47.60201211476762,-122.33179258432051,Cocktail Bar,8.8,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Fjällräven,52b4d334498e0fe1ffca7f79,47.6058002767604,-122.33721687452362,Clothing Store,8.5,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Seattle,47.6049492,-122.33327369999999,Penelope and The Beauty Bar,504e7942e4b06a5988112a15,47.60811709139168,-122.33387229232754,Spa,8.6,0,Hotel,Sandwich Place,Cocktail Bar,Noodle House,Social Club,Spa,Coffee Shop,Clothing Store,Breakfast Spot,French Restaurant
Los Angeles,34.0428494,-118.24767320000001,Raw Materials Art Supplies,4b845136f964a520612e31e3,34.043667629614575,-118.25015991926192,Arts & Crafts Store,8.5,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Wake and Late,580884e838fa828547f03c81,34.045133613669336,-118.24967302908928,Restaurant,8.8,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Cole's,431e2d80f964a52081271fe3,34.044871805518234,-118.24948853420624,Bar,8.6,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Los Angeles Flower Market,4b4221ddf964a52056cd25e3,34.04047777060825,-118.249867067323,Flower Shop,8.9,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,The Varnish,4a2774a9f964a52080911fe3,34.044866999999996,-118.24956,Speakeasy,8.5,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Mignon Wine & Cheese Bar,4c107a76f1b6a5931c0a7c27,34.044759338466136,-118.2492543468232,Wine Bar,8.4,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Moskatel's,4d9e474cf941a35df5e056d5,34.04079517370945,-118.2484562309068,Arts & Crafts Store,8.1,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Poppy + Rose,53b5c7a8498ecdc1647bb68f,34.040564902353566,-118.24994252070765,Breakfast Spot,8.4,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,Sonoratown,5751f4e0cd10ed687cf31b9a,34.04167953537247,-118.25209517053676,Taco Place,8.9,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
Los Angeles,34.0428494,-118.24767320000001,The Main Barre,4ed134119adf254457df8211,34.045376160763944,-118.24988723380869,Gym,8.3,0,Arts & Crafts Store,Breakfast Spot,Speakeasy,Wine Bar,Flower Shop,Bar,Taco Place,Restaurant,Gym,Food Court
New York City,40.5997561,-73.94638990000001,G & S Pork Store,4c057ba88f8fa59302ecf10d,40.600084201785286,-73.94530230198605,Deli / Bodega,8.3,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,T&D Bakery,4c6fcca7df6b8cfac221b64d,40.599975,-73.948278,Bakery,8.1,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Brennan & Carr,455f02b7f964a5208c3d1fe3,40.60029524315701,-73.94219245563342,Sandwich Place,8.5,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Zee Bagels,4f0c3024e4b0cdfb0276a04c,40.60036342808386,-73.94363586694371,Bagel Shop,7.8,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Kawaii Sushi,4b89abdaf964a520be4a32e3,40.600095722957576,-73.94440105719988,Sushi Restaurant,7.6,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Safir Bakery,536196d3498ee00b8cc1d7a6,40.600228915083534,-73.94389002747907,Bakery,7.5,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Pirosmani,45a5267bf964a520fc401fe3,40.59962864526162,-73.94866689908794,Russian Restaurant,7.5,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Phở Hoài Restaurant,49e1ed26f964a520e8611fe3,40.5992166389853,-73.95242240802057,Vietnamese Restaurant,8.2,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Omiya Sushi,4bfb16ebd2b720a16395326a,40.599785490416004,-73.94786317239898,Japanese Restaurant,7.4,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
New York City,40.5997561,-73.94638990000001,Citizen Ink,4ce0481a7e2e236a12438a1b,40.599056710316326,-73.95542360263111,Tattoo Parlor,8.6,1,Bakery,Sandwich Place,Japanese Restaurant,Deli / Bodega,Sushi Restaurant,Russian Restaurant,Tattoo Parlor,Bagel Shop,Vietnamese Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Cafecito,514356cce4b0b77bf1dc5dc8,41.882271,-87.633616,Cuban Restaurant,8.9,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Kimpton Gray Hotel,57ac13a4cd10a2bea58adcac,41.88087481612714,-87.63175159692764,Hotel,8.8,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Starbucks,4b38cc49f964a5207e5025e3,41.88229777,-87.63430689,Coffee Shop,8.5,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Hamilton The Musical,57f44245498e663526dce9e2,41.881049341650346,-87.62881058588184,Theater,9.0,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Benjyehuda,50c0f3cce4b00a170e2828c1,41.88140598249915,-87.63239323865992,Falafel Restaurant,8.5,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Cadillac Palace Theatre,4b284c70f964a5202f9224e3,41.88400646666445,-87.63314419432791,Theater,8.8,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,CIBC Theatre,4aa05693f964a5202f3f20e3,41.88123457111842,-87.62879525582633,Theater,8.8,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,JW Marriott Chicago,4cc099891da0a1cd0bf694c6,41.8793371,-87.63283220000001,Hotel,8.7,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,sweetgreen,593ec2950a464d2a57edaf0f,41.882200700000006,-87.6290567,Salad Place,8.6,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Chicago,41.881644,-87.63209480891294,Revival Food Hall,5751af74cd102f915c2cb3de,41.87956,-87.63055,Food Court,8.6,0,Theater,Hotel,Cuban Restaurant,Salad Place,Food Court,Coffee Shop,Falafel Restaurant,Japanese Restaurant,Italian Restaurant,History Museum
Austin,30.268053600000002,-97.7447642,The Roosevelt Room,5504ef8f498e12606e2b3a10,30.267841999999998,-97.74624200000001,Cocktail Bar,9.1,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Péché,4a3c3dc9f964a5204ea11fe3,30.266832943848435,-97.74526629373388,Cocktail Bar,9.0,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Perry's Steakhouse,4aa06c38f964a520923f20e3,30.269373758193908,-97.74367595773869,Steakhouse,8.9,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Truluck's Seafood Steak & Crab,4d6c600ba3916dcb9b758a1e,30.266757104122032,-97.74496809262709,Seafood Restaurant,8.8,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Turf N' Surf Poboys,4bb79325314e95219255479d,30.26714285009745,-97.74573921099476,Cajun / Creole Restaurant,8.7,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Upstairs at Caroline,59704c66e075506cb46a616a,30.268810417282484,-97.74231022453688,Hotel,8.9,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Cedar Street Courtyard,40b13b00f964a5207af31ee3,30.26682931530129,-97.74531306567108,Lounge,8.5,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Lonesome Dove Western Bistro,558befc1498e521f1b3fc280,30.267292336806594,-97.7443789994866,Restaurant,8.5,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Red Ash,574074c1498ec610c4e112d0,30.26558414895398,-97.74496619990393,Italian Restaurant,9.0,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Austin,30.268053600000002,-97.7447642,Warehouse District,4e599cbf1495a89112823bf7,30.266566521164236,-97.74528023239029,Nightclub,8.4,0,Cocktail Bar,Italian Restaurant,Nightclub,Seafood Restaurant,Cajun / Creole Restaurant,Steakhouse,Lounge,Hotel,Restaurant,Gym
Boston,42.35860195,-71.06387508501133,Boston Athenaeum,4a4a438ff964a520a0ab1fe3,42.357480537666966,-71.06183760036926,Library,9.2,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Florina,57d0a299498eb9d6942d3ff5,42.359374705279706,-71.06321899174749,Pizza Place,8.8,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,No. 9 Park,3fd66200f964a5203eec1ee3,42.35754020221547,-71.06319344448555,French Restaurant,8.5,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Museum of African American History,4aa5474df964a520d24720e3,42.360057755694335,-71.06528700257832,History Museum,8.5,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,The Freedom Trail,4b41657df964a5203dc625e3,42.357314159016994,-71.0610384796326,Historic Site,8.8,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Grotto,4aa91accf964a520005220e3,42.35991506135848,-71.06280665488974,Italian Restaurant,8.4,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Health Yoga Life,4ec3f8aed5fb255ab41dbbf2,42.36126093838565,-71.06372182643271,Yoga Studio,8.8,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Boston Common,4283ee00f964a520dd221fe3,42.355487,-71.064882,Park,9.5,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Frog Pond,4a549cd9f964a5202ab31fe3,42.35613375967781,-71.06567233800887,Lake,8.6,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
Boston,42.35860195,-71.06387508501133,Union Club of Boston,40b28c80f964a52098f71ee3,42.35741149126363,-71.06270210930566,Restaurant,8.2,2,Yoga Studio,Restaurant,French Restaurant,Historic Site,History Museum,Italian Restaurant,Library,Park,Pizza Place,Lake
