City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating
Los Angeles,34.0536909,-118.2427666,Ahmanson Theatre,4a721c32f964a52061da1fe3,34.05814455439632,-118.24743440579077,Theater,9.2
Los Angeles,34.0536909,-118.2427666,Music Center Plaza,4a8f4f4df964a520d61420e3,34.05724717903184,-118.24826493859291,Plaza,9.0
Los Angeles,34.0536909,-118.2427666,Hama Sushi,49d97513f964a520395e1fe3,34.04852682809243,-118.24049950138306,Sushi Restaurant,8.7
Los Angeles,34.0536909,-118.2427666,The Broad,4eeb4c14b634b469c36a8c80,34.05447353318002,-118.25005141068853,Art Museum,9.4
Los Angeles,34.0536909,-118.2427666,The Colburn School of Performing Arts,4af75f6ff964a520d30822e3,34.053684358221375,-118.24960166794519,School,8.8
Los Angeles,34.0536909,-118.2427666,Mark Taper Forum,4aaf3b2cf964a5202a6420e3,34.05764007529751,-118.24797690372642,Theater,8.9
Los Angeles,34.0536909,-118.2427666,McConnell's Fine Ice Creams,53d67d2c498ebc39aab217fc,34.050737673567475,-118.24884695894825,Ice Cream Shop,8.9
Los Angeles,34.0536909,-118.2427666,Sari Sari Store LA,5956f0d0f5e9d7161f043456,34.05106528627699,-118.24938966747226,Filipino Restaurant,9.1
Boston,42.3551473,-71.0599539,Yvonne's,560d8c06498e79986a22ca43,42.355664233287655,-71.06146632268391,New American Restaurant,9.2
Boston,42.3551473,-71.0599539,Sam LaGrassa's,4a4b77ddf964a52063ac1fe3,42.35687,-71.05996,Sandwich Place,9.2
Boston,42.3551473,-71.0599539,Barry's Bootcamp Boston,522ddc8f11d22c9b60f21cf7,42.3540102743177,-71.0597764787762,Gym / Fitness Center,9.1
Boston,42.3551473,-71.0599539,sweetgreen,57fbb58e498e466c222aa37d,42.353943,-71.0585497,Salad Place,9.0
Boston,42.3551473,-71.0599539,George Howell Coffee,57585d08498e05c399ce0c3d,42.354723387969685,-71.06144309666223,Coffee Shop,8.8
Boston,42.3551473,-71.0599539,Brattle Book Shop,4b06d899f964a52052f122e3,42.35460493404006,-71.062048357888,Bookstore,8.8
